doc_id,doc_type,doc_date,doc_name,plan_desc,physical_index,date_edited,has_water,has_sewer,has_drainage,has_easement,has_street,has_utilities,has_addressing,is_as_built,needs_rescan,needs_delete,water_size,water_material,sewer_size,sewer_material,server_location
18,Construction,3/21/1968,Water Simpson and 26th SE,Extension,A-18,10/16/2012,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,
19,Construction,4/8/1968,Water 11th NE and Hickory,Extension,A-19,10/16/2012,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,
20,Construction,4/12/1968,Curb Price and 15th NE,Extension,A-20,10/16/2012,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,
21,Construction,3/26/1968,"""Curb Jackson and 12th, 10th, 14th, 15th SE""",Curb Layout,A-21,10/16/2012,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,
22,Construction,4/16/1968,Sewer Jackson and 19th SE,Extension,A-22,10/16/2012,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,
23,Construction,5/16/1968,Sewer Austin and 10th SE,Extension,A-23,10/17/2012,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,
24,Construction,5/28/1968,Sewer Cherry Between 19th and 22nd NW,Sewer Extension,A-24,10/17/2012,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,
25,Construction,6/20/1968,Sewer Pine Bluff and 26th NE,Sewer Extension,A-25,10/17/2012,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,
26,Construction,6/20/1968,Water Hubbard and 28th SE,Water Extension,A-26,10/17/2012,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,
27,Construction,6/27/1968,Water 19th SW,t&p Railroad + Extension,A-27,10/17/2012,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
28,Construction,7/2/1968,Water Old Bonham and 41st SW,4000 Blk + Extension,A-28,10/17/2012,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
29,Construction,7/2/1968,Sewer,Sewer Layout,A-29,10/17/2012,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
30,Construction,5/3/1968,Drainage Austin and 10th SE,,A-30,10/17/2012,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
31,Construction,7/8/1968,W&S Pine Bluff (Main to 2nd NE),Tap Locations,A-31,10/17/2012,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
32,Construction,7/30/1968,W&S Plum and 22nd NW,Extension,A-32,10/17/2012,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,
33,Construction,8/2/1968,Sewer Jackson St and 14th SE,Extension,A-33,10/17/2012,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
